resume_skills,jd_skills,label
"MongoDB, Azure, Machine Learning, Docker","PostgreSQL, NoSQL, Big Data, Django, Kubernetes, Cloud Computing",0.44175454420541677
"TensorFlow, CI/CD, Keras, Microservices, C++","REST APIs, Data Engineering, MongoDB, NoSQL",0.15704902680936905
"API Development, Data Engineering, PostgreSQL, C++","Hadoop, GraphQL, C++, Docker, SQL",0.4616253726256979
"GraphQL, Machine Learning, Docker, Flask, MongoDB","Data Engineering, Hadoop, Cloud Computing, Data Science, MongoDB",0.3757848968989844
"Python, AWS, REST APIs, Data Engineering, API Development, PostgreSQL","AWS, SQL, API Development",0.36867865560398927
"C++, NoSQL, Azure, Docker","REST APIs, Azure, C++, API Development",0.04747485195644771
"CI/CD, Deep Learning, Data Science, Azure, Kubernetes, API Development","Hadoop, GraphQL, Azure, MongoDB",0.13031493725493212
"Hadoop, Java, Flask, Kubernetes","Flask, Django, TensorFlow",0.11300459157018097
"Kubernetes, Hadoop, Cloud Computing, Spark","C++, Flask, REST APIs",0.19881115233096824
"PostgreSQL, Spark, Data Science, Machine Learning","API Development, SQL, Django, Microservices, NoSQL",0.19303865773461032
"React, Docker, Hadoop, Deep Learning, CI/CD, Data Engineering","Kubernetes, PostgreSQL, Keras, NoSQL",0.5020060096707547
"Deep Learning, Data Engineering, Java, Django, Hadoop","Flask, Data Engineering, CI/CD, Cloud Computing, Python, GraphQL",0.3249308906647748
"GraphQL, React, Azure","AWS, SQL, Hadoop, Big Data",0.2014362298968918
"React, SQL, Deep Learning, Azure, NoSQL","Azure, Data Engineering, Microservices, API Development, REST APIs, Docker",0.48251023502357626
"Node.js, TensorFlow, Microservices, Spark, Flask, C++","Keras, Big Data, Kubernetes, Docker, Machine Learning, Flask",0.05342729811892796
"PostgreSQL, NoSQL, Kubernetes","TensorFlow, NoSQL, Cloud Computing, REST APIs, API Development, C++",0.19375950449545465
"Flask, Data Science, Node.js, Kubernetes, SQL, C++","Hadoop, Kubernetes, TensorFlow, Docker, Azure, Deep Learning",0.0370355128398579
"NoSQL, MongoDB, Django, GraphQL, Data Engineering, Docker","AWS, Hadoop, Python, GraphQL",0.5089654878560332
"PostgreSQL, Data Engineering, Microservices, React","Python, Data Engineering, TensorFlow, React, AWS, Data Science",0.06635368497405006
"Flask, REST APIs, Machine Learning, Cloud Computing","PostgreSQL, Java, Cloud Computing, Node.js",0.15738587220276218
"Microservices, Docker, Java","Cloud Computing, Django, C++, Deep Learning",0.18486438789122708
"Kubernetes, Machine Learning, Cloud Computing","Data Engineering, Hadoop, Data Science, Java, Deep Learning",0.045232642667799305
"Keras, REST APIs, Microservices, AWS","Kubernetes, PostgreSQL, API Development, NoSQL, TensorFlow",0.45373106337340474
"Azure, Hadoop, Node.js","Node.js, REST APIs, API Development, React, Data Engineering, CI/CD",0.04282641507815743
"API Development, REST APIs, Big Data, GraphQL","C++, Docker, PostgreSQL, Azure, Hadoop",0.37937903736407563
"CI/CD, Keras, Java, MongoDB","Node.js, NoSQL, MongoDB, Python, Spark, Docker",0.441130787446681
"Kubernetes, SQL, MongoDB, Java, TensorFlow","REST APIs, Kubernetes, MongoDB, Data Science, Big Data",0.1016452509581881
"NoSQL, Keras, Data Engineering, AWS, PostgreSQL, Node.js","NoSQL, Azure, Python, Spark",0.05295481538312494
"Java, REST APIs, CI/CD, React","Microservices, Machine Learning, Deep Learning",0.36086696271018326
"Cloud Computing, Python, Deep Learning","REST APIs, Deep Learning, Data Science, TensorFlow, Big Data",0.09332034869250372
"GraphQL, Java, Azure, Keras","Data Engineering, Machine Learning, Hadoop, Spark, Azure",0.06344083936726638
"AWS, Flask, API Development, Big Data, React","CI/CD, Cloud Computing, Data Engineering, REST APIs",0.33421534659096086
"Deep Learning, GraphQL, Data Science","Machine Learning, Microservices, GraphQL, TensorFlow, Python",0.446716661274113
"Data Science, Data Engineering, Java, Node.js, Deep Learning, Flask","SQL, API Development, Keras",0.40591943676421655
"Flask, GraphQL, AWS, Microservices","PostgreSQL, Keras, Data Science, GraphQL, Python",0.1561908350429131
"GraphQL, Azure, Deep Learning, Django, MongoDB, SQL","Data Science, Django, TensorFlow, C++, Docker",0.488109943703454
"AWS, Python, Big Data, Kubernetes, MongoDB","Flask, Data Engineering, NoSQL, API Development, Azure, Microservices",0.13749910655685446
"Big Data, Flask, React, Python","C++, Cloud Computing, Data Science, Spark, AWS, CI/CD",0.38480297051622037
"Kubernetes, Hadoop, GraphQL, Docker, Django, Data Engineering","NoSQL, Python, Data Science",0.3362095626917156
"Docker, Hadoop, API Development, SQL","REST APIs, PostgreSQL, Cloud Computing, Keras, Django",0.11538450824618854
"C++, Hadoop, Azure, Java, Cloud Computing, NoSQL","C++, PostgreSQL, Node.js",0.34703879651115976
"Django, PostgreSQL, Python","Java, React, Node.js, NoSQL",0.06578097632979171
"REST APIs, Big Data, Data Science","C++, Big Data, REST APIs, Kubernetes, GraphQL, CI/CD",0.4289829096724697
"Azure, SQL, Big Data, Cloud Computing, AWS","TensorFlow, Java, MongoDB",0.16757967236666255
"Django, Big Data, Deep Learning, C++, Hadoop, MongoDB","GraphQL, PostgreSQL, SQL, AWS, Docker",0.20513204111509675
"Data Science, API Development, AWS, Node.js, REST APIs, Django","Azure, API Development, React",0.04654200524443952
"Java, Cloud Computing, NoSQL, TensorFlow, Kubernetes, C++","Data Engineering, Machine Learning, Spark, CI/CD",0.5043597788331275
"Docker, Deep Learning, Keras, MongoDB, Machine Learning, Azure","Data Engineering, Microservices, Node.js",0.14309137116224274
"Python, GraphQL, Deep Learning, Machine Learning","Java, Keras, Data Science, Spark, Microservices, Cloud Computing",0.04147123135769598
"Machine Learning, Python, Data Science, Big Data, TensorFlow, Hadoop","Django, CI/CD, Azure",0.2106661306447506
"Microservices, AWS, Docker","Keras, GraphQL, Spark, NoSQL, C++, Flask",0.45725194667972197
"Machine Learning, Deep Learning, Kubernetes, Hadoop","MongoDB, Machine Learning, PostgreSQL, Data Engineering, SQL",0.45757726515334696
"Deep Learning, Hadoop, Azure, Java, API Development, Cloud Computing","Cloud Computing, GraphQL, Microservices",0.33865681255542157
"Cloud Computing, PostgreSQL, Hadoop, SQL","GraphQL, Machine Learning, Hadoop, AWS, Node.js",0.4196080058838935
"Java, GraphQL, NoSQL, Docker, Spark","MongoDB, Deep Learning, Keras",0.10890012358824983
"Keras, GraphQL, MongoDB","Node.js, Hadoop, Python, AWS, Microservices, SQL",0.4463081405311823
"Java, API Development, Docker, Hadoop, Django, NoSQL","TensorFlow, Flask, CI/CD, Azure, Cloud Computing",0.09442860686892851
"Python, Keras, Microservices, Spark","Node.js, Java, GraphQL",0.21369501208501662
"GraphQL, Machine Learning, AWS, Spark, Hadoop, Django","Big Data, TensorFlow, PostgreSQL, Cloud Computing, Hadoop",0.22554588318225405
"TensorFlow, SQL, Machine Learning, Big Data, Azure, Java","Java, PostgreSQL, Keras, Azure, Deep Learning",0.04083053107146206
"Data Science, Deep Learning, React, Docker, GraphQL","Hadoop, PostgreSQL, CI/CD, NoSQL",0.3797963827665143
"Kubernetes, Microservices, API Development, C++, AWS, Python","CI/CD, Python, Data Engineering",0.49076046746774604
"Kubernetes, React, Machine Learning, Django","Data Engineering, Django, API Development, React, REST APIs, SQL",0.17285210330232786
"Microservices, GraphQL, Azure, Data Science, Data Engineering, Python","Data Science, Python, React, SQL, Machine Learning, Kubernetes",0.0559284413140029
"React, Keras, Cloud Computing, Python, C++, CI/CD","Java, Azure, C++",0.20819757113989612
"Azure, GraphQL, Deep Learning, Kubernetes, Machine Learning","Data Science, Django, Node.js, Azure, Python, MongoDB",0.09842255188385024
"Data Science, CI/CD, Azure, SQL, Keras","REST APIs, Java, Spark, TensorFlow",0.09711936276839439
"SQL, Kubernetes, Deep Learning, Node.js, Django, Data Engineering","API Development, React, Java, Cloud Computing, Keras",0.4355425486842075
"Hadoop, Node.js, Big Data","Kubernetes, GraphQL, Hadoop, Big Data, Docker",0.10563314156858744
"Hadoop, Microservices, Kubernetes, Spark, Django","Azure, Flask, Data Science, Node.js, Cloud Computing",0.3443065254956163
"REST APIs, Python, Big Data","PostgreSQL, REST APIs, Flask, Azure, AWS, Deep Learning",0.1743473937235035
"REST APIs, Deep Learning, TensorFlow","Data Engineering, Kubernetes, Data Science",0.09358543957136484
"TensorFlow, Kubernetes, Microservices","CI/CD, MongoDB, TensorFlow, Docker, AWS",0.43421543999704426
"Java, REST APIs, Machine Learning, PostgreSQL","Python, PostgreSQL, Keras, Deep Learning",0.18657937904930919
"Data Science, TensorFlow, C++, Microservices, Docker","NoSQL, MongoDB, C++, Python, Node.js, CI/CD",0.47685938598811967
"Keras, NoSQL, Microservices, Machine Learning","Python, Azure, TensorFlow, Flask, PostgreSQL, Big Data",0.39518830495417717
"TensorFlow, MongoDB, API Development, GraphQL, Spark","API Development, C++, Data Engineering, Spark",0.157837227692873
"Data Science, CI/CD, C++, Flask","MongoDB, Microservices, Keras, Java, C++, Big Data",0.11819141429726424
"Keras, Node.js, Python, C++, Machine Learning, CI/CD","Microservices, SQL, Hadoop, Kubernetes, REST APIs, Java",0.4265159338051897
"Data Engineering, PostgreSQL, GraphQL, Python, CI/CD, C++","SQL, Node.js, React, Azure",0.1663696926315556
"SQL, NoSQL, CI/CD, PostgreSQL, Node.js","TensorFlow, Java, Data Science, Big Data",0.07528242909377361
"C++, TensorFlow, Machine Learning","MongoDB, C++, Data Engineering",0.3962208699955824
"Node.js, Azure, Data Engineering, GraphQL, Deep Learning","Django, Cloud Computing, API Development, TensorFlow",0.11602808423830488
"MongoDB, Spark, Node.js, SQL, Big Data","Spark, C++, Hadoop, Django",0.3765860454654535
"Java, Node.js, AWS","GraphQL, Cloud Computing, SQL",0.386097612696665
"Deep Learning, Azure, Data Engineering, REST APIs, Python","Azure, TensorFlow, C++, React, Big Data, Data Engineering",0.40947750664961174
"Django, Java, NoSQL, CI/CD","AWS, PostgreSQL, Keras, Machine Learning, API Development, Hadoop",0.05799760994229933
"GraphQL, AWS, Cloud Computing, REST APIs, PostgreSQL","Kubernetes, C++, Microservices, Java",0.40678174463033406
"Azure, NoSQL, CI/CD, Data Science","Flask, MongoDB, Python, NoSQL, Data Science",0.04914253595775775
"Machine Learning, Data Science, Kubernetes, API Development, Docker, MongoDB","SQL, Python, CI/CD, Django",0.08787307773994124
"Python, Machine Learning, Django, Keras, Cloud Computing, C++","Spark, Docker, Keras, MongoDB, GraphQL",0.44786562931327356
"Java, REST APIs, SQL","Machine Learning, AWS, Cloud Computing, Data Engineering, Django",0.05665296510996823
"Java, Data Science, Machine Learning, REST APIs","Big Data, Java, API Development, Data Science, Azure, Node.js",0.4196777267200983
"Keras, SQL, Data Engineering, Hadoop, Spark","Java, Big Data, NoSQL, Django, C++",0.5293225319822897
"MongoDB, Cloud Computing, SQL, Spark, REST APIs","Big Data, C++, AWS, Spark, Deep Learning, Data Engineering",0.20009159956012298
"Java, GraphQL, Data Science, Data Engineering, MongoDB, CI/CD","Hadoop, Keras, Python, Flask, MongoDB, GraphQL",0.16216674650744545
"Kubernetes, Deep Learning, Spark, REST APIs, Microservices, Big Data","Hadoop, Data Science, Cloud Computing, Microservices, Machine Learning, MongoDB",0.2341095253922592
"REST APIs, Python, Big Data, Docker, Deep Learning","PostgreSQL, Data Engineering, SQL",0.09414389369903936
"NoSQL, Django, API Development, React","PostgreSQL, CI/CD, SQL",0.4931868566036184
"Data Science, Cloud Computing, Big Data, Keras, Spark, REST APIs","Spark, C++, Machine Learning, Hadoop, SQL",0.24384780175759452
"Big Data, Machine Learning, Spark, Hadoop","Spark, Cloud Computing, Keras, GraphQL",0.4642299527407159
"Kubernetes, C++, Machine Learning","Spark, GraphQL, TensorFlow, Java",0.07326569110217854
"CI/CD, Azure, Python","SQL, Keras, PostgreSQL, Kubernetes, Node.js, Data Science",0.1522842583256695
"Hadoop, NoSQL, Docker, CI/CD, Cloud Computing","REST APIs, Kubernetes, AWS, Flask",0.08182698480521125
"NoSQL, Django, CI/CD, Node.js, Cloud Computing, Microservices","PostgreSQL, AWS, GraphQL, Deep Learning, Flask",0.45090469218774387
"Python, Data Science, REST APIs, Cloud Computing, Microservices","Machine Learning, Docker, Spark, React, MongoDB, Microservices",0.22095967216129647
"TensorFlow, Deep Learning, Node.js, REST APIs, API Development","React, Machine Learning, Cloud Computing, Big Data, Kubernetes, NoSQL",0.45022801272865187
"TensorFlow, CI/CD, MongoDB, Microservices, Azure, Django","Django, Cloud Computing, Deep Learning, API Development, NoSQL",0.09162789165725937
"React, Microservices, GraphQL","Cloud Computing, AWS, Hadoop, React",0.2118127680089898
"TensorFlow, CI/CD, Kubernetes, C++, API Development, Deep Learning","React, Cloud Computing, Machine Learning, Django, TensorFlow, AWS",0.16144289429277947
"Data Science, API Development, Microservices, Machine Learning, Django","TensorFlow, Big Data, CI/CD",0.17174920146525668
"API Development, GraphQL, Data Science, Java","Django, Cloud Computing, PostgreSQL, Azure",0.3706482943768812
"Deep Learning, Django, PostgreSQL, Machine Learning","Cloud Computing, Hadoop, TensorFlow, Azure, SQL, NoSQL",0.3399797808873322
"Django, TensorFlow, PostgreSQL, Data Engineering, Node.js","Docker, C++, API Development",0.07955814822179094
"Cloud Computing, TensorFlow, Data Science, Deep Learning","Big Data, TensorFlow, MongoDB, Deep Learning",0.11213360265732841
"Django, Machine Learning, API Development","PostgreSQL, Docker, Deep Learning, Java",0.17218961055204274
"Flask, Docker, Machine Learning, MongoDB","Microservices, Keras, Django, AWS, GraphQL",0.46086168753057133
"API Development, Deep Learning, REST APIs, Azure, PostgreSQL","Spark, GraphQL, CI/CD, Deep Learning, Data Engineering, Java",0.46071795777930236
"Big Data, Spark, Azure, Kubernetes, SQL, Python","Kubernetes, GraphQL, Flask, Data Engineering, Big Data",0.10175919418509427
"Hadoop, Docker, Python, C++","Docker, REST APIs, API Development, Machine Learning",0.4020290665809325
"GraphQL, NoSQL, MongoDB, REST APIs","Java, Node.js, Kubernetes",0.40122880625719615
"C++, React, GraphQL, Microservices, Python, NoSQL","Java, Data Science, PostgreSQL, Data Engineering, GraphQL",0.15177928965461723
"Machine Learning, Java, SQL, AWS, Deep Learning","React, Data Science, Cloud Computing, NoSQL, PostgreSQL, Big Data",0.4116251313533459
"Microservices, Data Science, API Development, Azure, AWS, REST APIs","React, Cloud Computing, NoSQL, Python",0.37096283774533584
"API Development, Python, React, Keras, Cloud Computing","Python, Azure, CI/CD, Data Science, C++",0.38166257813848936
"Hadoop, Kubernetes, Django, Flask, Deep Learning, Data Engineering","CI/CD, MongoDB, Node.js, Big Data, SQL, TensorFlow",0.12170346207692553
"Data Engineering, Azure, Cloud Computing, Spark, Node.js","PostgreSQL, Deep Learning, Hadoop",0.4209972038548495
"Microservices, AWS, Node.js, TensorFlow, Django, Flask","TensorFlow, Keras, CI/CD, Deep Learning, REST APIs",0.11165239420633288
"Java, TensorFlow, API Development, AWS","NoSQL, API Development, Deep Learning, Hadoop",0.4123415249138799
"Cloud Computing, Kubernetes, Node.js, TensorFlow","AWS, Keras, REST APIs, React, Django",0.4015694396342218
"Keras, Python, AWS","Keras, Java, MongoDB, PostgreSQL, Big Data",0.09219826885166255
"Keras, Deep Learning, GraphQL, Big Data","Microservices, Spark, Kubernetes, Big Data",0.17237272788871905
"Azure, Docker, React, PostgreSQL","API Development, Big Data, GraphQL, Spark, Azure",0.3925337085422197
"CI/CD, React, Cloud Computing, TensorFlow","Deep Learning, Big Data, Kubernetes, C++",0.5220822078616344
"Data Science, Deep Learning, SQL","Data Science, Data Engineering, MongoDB, Deep Learning, NoSQL, PostgreSQL",0.36396605765614215
"Django, Data Science, Machine Learning, Microservices","PostgreSQL, Docker, Hadoop, TensorFlow, Cloud Computing, NoSQL",0.36272507247579877
"Kubernetes, Big Data, PostgreSQL","Machine Learning, Cloud Computing, Node.js",0.44237798500312664
"MongoDB, Python, CI/CD, Machine Learning","Python, Deep Learning, Azure, Big Data, Docker",0.16363310305401685
"AWS, Data Engineering, Cloud Computing, Microservices","Flask, API Development, PostgreSQL, Kubernetes, GraphQL",0.3524848663703577
"Spark, NoSQL, C++, API Development, CI/CD, Keras","Machine Learning, Django, Deep Learning, TensorFlow",0.3717501529690122
"Data Engineering, C++, TensorFlow","SQL, Microservices, Python, Data Science, Hadoop, Cloud Computing",0.18072715976162235
"C++, GraphQL, Java, Hadoop, SQL","Data Engineering, SQL, Big Data",0.4916264110407761
"Hadoop, Data Science, Flask, Keras, CI/CD, Node.js","Docker, React, Cloud Computing, Microservices",0.15064958482429663
"Spark, SQL, Kubernetes, Data Engineering","Spark, Keras, Hadoop",0.14113138711638748
"Docker, PostgreSQL, MongoDB, Azure, NoSQL, GraphQL","Data Science, MongoDB, PostgreSQL, Spark, Azure",0.34344113648665564
"Deep Learning, Spark, Docker","Deep Learning, Cloud Computing, Node.js, AWS, Java, PostgreSQL",0.5230343056020527
"GraphQL, React, MongoDB, PostgreSQL, Keras, TensorFlow","Cloud Computing, CI/CD, Azure",0.512285289442903
"MongoDB, Microservices, C++","Java, Django, Big Data, Spark, NoSQL",0.1413183377109836
"Azure, API Development, TensorFlow, PostgreSQL, Cloud Computing, NoSQL","Deep Learning, NoSQL, Machine Learning, AWS, React",0.10194792281193732
"Spark, Azure, Data Science, Data Engineering","Kubernetes, Node.js, Big Data, Flask, SQL",0.05169793741476264
"Keras, API Development, Node.js, Hadoop, Deep Learning, Django","SQL, Java, Flask",0.22107793157889277
"API Development, Django, PostgreSQL, Python, C++, Big Data","MongoDB, Cloud Computing, SQL, Data Science",0.07135589480089646
"Flask, Azure, Django, Data Science, GraphQL","Django, API Development, Java",0.20186636193729798
"C++, REST APIs, Machine Learning, Deep Learning, Docker, CI/CD","React, Azure, CI/CD, Java",0.07234723840319887
"Azure, TensorFlow, AWS","Deep Learning, Docker, Keras, CI/CD",0.08195330901085454
"Data Science, CI/CD, Python, AWS, Java","Java, Data Science, Big Data, NoSQL, Azure",0.4932069427258291
"Spark, Data Science, Data Engineering, AWS, Microservices, SQL","API Development, Kubernetes, Cloud Computing, Azure, Node.js",0.2225175025192455
"Django, Data Engineering, Node.js, REST APIs, Data Science","Django, Big Data, Data Engineering, CI/CD, Python, Deep Learning",0.20448712448155956
"Keras, Data Engineering, Django, CI/CD, GraphQL","API Development, AWS, Data Engineering, Data Science, Big Data",0.49585348613471286
"GraphQL, React, TensorFlow, Docker, Data Engineering","PostgreSQL, Java, API Development, Flask",0.4951779522429403
"Docker, Deep Learning, GraphQL","Deep Learning, C++, TensorFlow, NoSQL",0.10580920454509785
"Microservices, CI/CD, MongoDB, Kubernetes","Data Science, Python, PostgreSQL",0.455142949453627
"React, AWS, TensorFlow, Java","Data Engineering, REST APIs, Cloud Computing, API Development, Big Data, NoSQL",0.19426786681688538
"Data Engineering, NoSQL, REST APIs, API Development, Python","AWS, Cloud Computing, NoSQL, TensorFlow",0.23476019555451638
"Java, Data Science, SQL, Deep Learning","Flask, Data Science, Microservices, API Development",0.48488016959034225
"Node.js, Cloud Computing, PostgreSQL, SQL","Data Science, Microservices, Java, GraphQL, Keras, Big Data",0.534149140200062
"Keras, Big Data, Machine Learning, Spark","Keras, Cloud Computing, Docker",0.4245945432721911
"TensorFlow, Kubernetes, Docker, Microservices","Spark, Python, Docker, Node.js, Big Data, TensorFlow",0.4444088962566304
"NoSQL, Data Engineering, Python","Docker, Cloud Computing, React, PostgreSQL, Data Science",0.4741182384294523
"Keras, Data Science, React","Keras, PostgreSQL, Spark, Microservices, Cloud Computing",0.3641333221530036
"Big Data, Hadoop, Azure","PostgreSQL, Flask, Kubernetes, Java",0.14329769798234035
"Data Engineering, Machine Learning, AWS, Microservices, Java, TensorFlow","Deep Learning, Azure, Keras, NoSQL, GraphQL",0.21314463306058545
"Java, TensorFlow, Cloud Computing, Microservices","Machine Learning, React, Keras, Docker, AWS, SQL",0.23250409915164877
"Hadoop, Machine Learning, Azure, GraphQL","React, Docker, Cloud Computing, Big Data, PostgreSQL",0.1921204494938549
"C++, Spark, Flask","Django, Data Engineering, Azure, PostgreSQL",0.11149971531991437
"Spark, PostgreSQL, API Development, CI/CD, TensorFlow, Big Data","Kubernetes, Flask, Django, Deep Learning",0.3408563626723389
"PostgreSQL, API Development, GraphQL, TensorFlow, Docker, CI/CD","Java, Data Science, Hadoop, AWS, Node.js, Django",0.4497220351546588
"Node.js, AWS, Keras, SQL, Kubernetes","MongoDB, Flask, Docker, Microservices",0.08921404622491041
"Flask, Data Science, Big Data, Machine Learning, Kubernetes","Docker, Cloud Computing, SQL, Node.js, C++, Microservices",0.37852797642099933
"Azure, Hadoop, Spark, Python, Data Engineering, Deep Learning","Data Engineering, Azure, Keras, API Development, Big Data",0.11016404885692604
"Microservices, React, GraphQL, Kubernetes","Cloud Computing, Flask, TensorFlow, Spark, GraphQL, Big Data",0.21028459631559926
"REST APIs, React, TensorFlow, Microservices, Azure, API Development","Kubernetes, Node.js, Keras",0.3999339768750417
"Microservices, Docker, Django, Deep Learning, GraphQL","Cloud Computing, Django, Data Engineering, Java, React, API Development",0.0997295139342177
"NoSQL, SQL, GraphQL, Kubernetes","AWS, Spark, SQL, TensorFlow",0.3998911075510493
"CI/CD, Spark, Django, Deep Learning, GraphQL, Hadoop","Node.js, Keras, API Development, Python",0.12926925881203002
"React, Kubernetes, C++","Cloud Computing, C++, Big Data, Microservices, MongoDB",0.5093243411823394
"Django, REST APIs, Python, Deep Learning","C++, Big Data, Microservices",0.15910870678339661
"API Development, Spark, Machine Learning, Data Engineering","Kubernetes, AWS, C++",0.23855105649274294
"Python, Microservices, React","Machine Learning, SQL, TensorFlow",0.5279729512068114
"Azure, React, PostgreSQL, Deep Learning, REST APIs","SQL, React, API Development",0.06902366727946654
"C++, Deep Learning, NoSQL, Data Engineering, Microservices, Hadoop","PostgreSQL, Azure, Node.js, Machine Learning, CI/CD",0.05900071479395716
"REST APIs, Data Science, C++, Node.js","Flask, Cloud Computing, Deep Learning, Azure",0.3683847717258808
"API Development, Big Data, Data Science, AWS","NoSQL, Flask, Java, REST APIs, Hadoop",0.06809058481557148
"Cloud Computing, Django, Data Science, NoSQL, Azure, Keras","Deep Learning, MongoDB, GraphQL, Data Engineering, Hadoop, NoSQL",0.20932599469982893
"NoSQL, Django, Flask","REST APIs, Machine Learning, Keras",0.3587478569762502
"Big Data, API Development, Django, C++, Data Science, MongoDB","SQL, MongoDB, NoSQL, Spark",0.5192758265715702
"MongoDB, Hadoop, Java, Deep Learning, Flask, Cloud Computing","C++, Keras, Microservices, Spark, API Development, PostgreSQL",0.09851595892177184
"SQL, Keras, API Development, Flask","Java, Data Science, Keras",0.06897906307851956
"Spark, Node.js, MongoDB, REST APIs, Keras","TensorFlow, Docker, Node.js",0.45946983380563033
"Data Science, Node.js, GraphQL, Python","Cloud Computing, Big Data, PostgreSQL, Spark",0.048855650735797895
"REST APIs, Data Science, GraphQL, React","Data Engineering, Hadoop, Microservices",0.41918781239038194
"Cloud Computing, Kubernetes, API Development, GraphQL","PostgreSQL, Data Science, Node.js, MongoDB, CI/CD",0.14843255485263795
"C++, Docker, Data Engineering","MongoDB, Django, CI/CD, NoSQL, Kubernetes, Flask",0.20772767799097308
"CI/CD, Deep Learning, Cloud Computing","Node.js, AWS, Data Science, NoSQL, Python",0.49764232557156296
"Azure, GraphQL, SQL, C++","Docker, Machine Learning, Java, REST APIs",0.14713411168669233
"React, Node.js, REST APIs, SQL","Django, TensorFlow, Big Data, Machine Learning",0.15646214773891265
"Microservices, Docker, TensorFlow, MongoDB, PostgreSQL, Node.js","CI/CD, C++, Java",0.2159080858016888
"Microservices, Azure, Hadoop, Node.js","Data Science, TensorFlow, Java, CI/CD, Big Data, AWS",0.04511601550909411
"Azure, AWS, Machine Learning, REST APIs","NoSQL, Java, Kubernetes",0.49471122987874294
"NoSQL, GraphQL, MongoDB, SQL, REST APIs, Keras","Hadoop, C++, React",0.13440682050481426
"Java, API Development, Hadoop, Machine Learning, Azure","Big Data, Spark, Kubernetes, Hadoop, CI/CD",0.37488096036511365
"REST APIs, PostgreSQL, Data Engineering, Cloud Computing, Microservices, Azure","API Development, CI/CD, Node.js, SQL, Data Science, Kubernetes",0.5252967361289753
"PostgreSQL, REST APIs, Python, Flask, TensorFlow, API Development","REST APIs, SQL, Java, Cloud Computing, Keras",0.15600849602932382
"Python, CI/CD, Keras","Node.js, Keras, Big Data",0.066482724281586
"Django, Data Science, Machine Learning, Spark, NoSQL, REST APIs","Python, Big Data, Django",0.08735218198392203
"Flask, React, Django","REST APIs, Spark, Data Science, Java",0.3967328950742445
"GraphQL, Deep Learning, Data Science, REST APIs, Big Data, Cloud Computing","Docker, GraphQL, React, PostgreSQL, Data Engineering",0.09731186549170467
"Hadoop, Kubernetes, AWS, NoSQL, Data Science, Docker","Data Engineering, React, TensorFlow, Keras, Hadoop, Data Science",0.058590985574404814
"NoSQL, MongoDB, GraphQL, TensorFlow, Microservices, Machine Learning","SQL, Data Science, Hadoop, Big Data, Deep Learning",0.05883908564367449
"Hadoop, PostgreSQL, GraphQL, Deep Learning","Data Engineering, Hadoop, C++",0.13921507780606648
"Data Science, Node.js, AWS","Flask, MongoDB, Azure, NoSQL, Docker",0.3384700021791109
