Description,TECHNICAL_SKILL,COMPANY_NAME,TOOL,EDUCATION,EXPERIENCE,DESIGNATION,LOCATION,LANGUAGE,SOFT_SKILL,PAY,CERTIFICATION
"Microsoft, Google is seeking a Software Engineer, Backend Developer, Product Manager proficient in Docker, Kubernetes, Python, AWS and experienced with Slack, Figma. The ideal candidate should possess Ph.D. in Data Science, Bachelor's in Computer Science and have 7+ years, 3-5 years, 5+ years of industry experience. Position is based in Seattle, WA, San Francisco, CA, New York, NY, Austin, TX. Strong Problem-Solving, Teamwork, Communication Skills and fluency in French, German, English, Spanish are required. Salary range: $90k–$120k, $80k–$100k. Preferred certifications include Certified Scrum Master, Google Cloud Professional, AWS Certified Solutions Architect.","Docker, Kubernetes, Python, AWS","Microsoft, Google","Slack, Figma","Ph.D. in Data Science, Bachelor's in Computer Science","7+ years, 3-5 years, 5+ years","Software Engineer, Backend Developer, Product Manager","Seattle, WA, San Francisco, CA, New York, NY, Austin, TX","French, German, English, Spanish","Problem-Solving, Teamwork, Communication Skills","$90k–$120k, $80k–$100k","Certified Scrum Master, Google Cloud Professional, AWS Certified Solutions Architect"
"IBM, Facebook, Netflix is seeking a Backend Developer, Software Engineer proficient in Python, Java and experienced with Salesforce, Slack, Figma, Jira. The ideal candidate should possess Ph.D. in Data Science, Bachelor's in Computer Science, Master's in Information Systems and have Mid-Senior level, Entry level, 7+ years of industry experience. Position is based in Austin, TX, San Francisco, CA. Strong Leadership, Problem-Solving, Communication Skills, Adaptability and fluency in English, German, Spanish, French are required. Salary range: $100k–$130k, $80k–$100k, $120k–$150k, $90k–$120k. Preferred certifications include AWS Certified Solutions Architect, PMP Certification, Google Cloud Professional, Certified Scrum Master.","Python, Java","IBM, Facebook, Netflix","Salesforce, Slack, Figma, Jira","Ph.D. in Data Science, Bachelor's in Computer Science, Master's in Information Systems","Mid-Senior level, Entry level, 7+ years","Backend Developer, Software Engineer","Austin, TX, San Francisco, CA","English, German, Spanish, French","Leadership, Problem-Solving, Communication Skills, Adaptability","$100k–$130k, $80k–$100k, $120k–$150k, $90k–$120k","AWS Certified Solutions Architect, PMP Certification, Google Cloud Professional, Certified Scrum Master"
"Google, IBM is seeking a Backend Developer, DevOps Engineer, Software Engineer, Product Manager proficient in Python, Java, Kubernetes and experienced with GitHub, Jira, Figma. The ideal candidate should possess Ph.D. in Data Science, Master's in Information Systems, Bachelor's in Computer Science and have 5+ years, Mid-Senior level, 7+ years of industry experience. Position is based in Austin, TX, Seattle, WA. Strong Problem-Solving, Teamwork, Communication Skills and fluency in English, French, German are required. Salary range: $100k–$130k, $90k–$120k, $120k–$150k. Preferred certifications include AWS Certified Solutions Architect, Google Cloud Professional.","Python, Java, Kubernetes","Google, IBM","GitHub, Jira, Figma","Ph.D. in Data Science, Master's in Information Systems, Bachelor's in Computer Science","5+ years, Mid-Senior level, 7+ years","Backend Developer, DevOps Engineer, Software Engineer, Product Manager","Austin, TX, Seattle, WA","English, French, German","Problem-Solving, Teamwork, Communication Skills","$100k–$130k, $90k–$120k, $120k–$150k","AWS Certified Solutions Architect, Google Cloud Professional"
"IBM, Apple, Tesla, Netflix is seeking a Data Scientist, Product Manager, Backend Developer proficient in Kubernetes, Python and experienced with Jira, Slack, VS Code. The ideal candidate should possess Ph.D. in Data Science, Bachelor's in Computer Science and have Entry level, 2+ years, 3-5 years, 5+ years of industry experience. Position is based in Chicago, IL, Boston, MA, Austin, TX, San Francisco, CA. Strong Problem-Solving, Communication Skills, Leadership and fluency in Spanish, French are required. Salary range: $80k–$100k, $100k–$130k, $120k–$150k, $90k–$120k. Preferred certifications include AWS Certified Solutions Architect, Certified Scrum Master, PMP Certification, Google Cloud Professional.","Kubernetes, Python","IBM, Apple, Tesla, Netflix","Jira, Slack, VS Code","Ph.D. in Data Science, Bachelor's in Computer Science","Entry level, 2+ years, 3-5 years, 5+ years","Data Scientist, Product Manager, Backend Developer","Chicago, IL, Boston, MA, Austin, TX, San Francisco, CA","Spanish, French","Problem-Solving, Communication Skills, Leadership","$80k–$100k, $100k–$130k, $120k–$150k, $90k–$120k","AWS Certified Solutions Architect, Certified Scrum Master, PMP Certification, Google Cloud Professional"
"Facebook, Amazon, Apple is seeking a Backend Developer, DevOps Engineer proficient in AWS, TensorFlow, Kubernetes and experienced with Jira, Figma, Slack. The ideal candidate should possess Bachelor's in Computer Science, Ph.D. in Data Science, Master's in Information Systems and have 5+ years, 3-5 years of industry experience. Position is based in Boston, MA, Austin, TX, Chicago, IL. Strong Teamwork, Leadership and fluency in German, Spanish, English are required. Salary range: $90k–$120k, $80k–$100k, $100k–$130k. Preferred certifications include Google Cloud Professional, PMP Certification, Certified Scrum Master.","AWS, TensorFlow, Kubernetes","Facebook, Amazon, Apple","Jira, Figma, Slack","Bachelor's in Computer Science, Ph.D. in Data Science, Master's in Information Systems","5+ years, 3-5 years","Backend Developer, DevOps Engineer","Boston, MA, Austin, TX, Chicago, IL","German, Spanish, English","Teamwork, Leadership","$90k–$120k, $80k–$100k, $100k–$130k","Google Cloud Professional, PMP Certification, Certified Scrum Master"
"Netflix, Microsoft, Apple, Facebook is seeking a Data Scientist, Backend Developer proficient in Kubernetes, Java, Machine Learning and experienced with Figma, Tableau, Salesforce, Slack. The ideal candidate should possess Master's in Information Systems, Ph.D. in Data Science and have 7+ years, 2+ years, Mid-Senior level, 3-5 years of industry experience. Position is based in San Francisco, CA, Boston, MA, New York, NY. Strong Communication Skills, Leadership and fluency in French, German are required. Salary range: $80k–$100k, $100k–$130k, $90k–$120k, $120k–$150k. Preferred certifications include Certified Scrum Master, Google Cloud Professional.","Kubernetes, Java, Machine Learning","Netflix, Microsoft, Apple, Facebook","Figma, Tableau, Salesforce, Slack","Master's in Information Systems, Ph.D. in Data Science","7+ years, 2+ years, Mid-Senior level, 3-5 years","Data Scientist, Backend Developer","San Francisco, CA, Boston, MA, New York, NY","French, German","Communication Skills, Leadership","$80k–$100k, $100k–$130k, $90k–$120k, $120k–$150k","Certified Scrum Master, Google Cloud Professional"
"Amazon, IBM, Microsoft is seeking a DevOps Engineer, Backend Developer proficient in SQL, Machine Learning, Java, TensorFlow and experienced with GitHub, VS Code, Slack. The ideal candidate should possess Ph.D. in Data Science, Master's in Information Systems, Bachelor's in Computer Science and have 5+ years, 2+ years of industry experience. Position is based in Chicago, IL, Austin, TX, Seattle, WA. Strong Adaptability, Problem-Solving, Communication Skills, Leadership and fluency in English, Spanish, French, German are required. Salary range: $90k–$120k, $100k–$130k, $80k–$100k, $120k–$150k. Preferred certifications include Certified Scrum Master, PMP Certification, AWS Certified Solutions Architect.","SQL, Machine Learning, Java, TensorFlow","Amazon, IBM, Microsoft","GitHub, VS Code, Slack","Ph.D. in Data Science, Master's in Information Systems, Bachelor's in Computer Science","5+ years, 2+ years","DevOps Engineer, Backend Developer","Chicago, IL, Austin, TX, Seattle, WA","English, Spanish, French, German","Adaptability, Problem-Solving, Communication Skills, Leadership","$90k–$120k, $100k–$130k, $80k–$100k, $120k–$150k","Certified Scrum Master, PMP Certification, AWS Certified Solutions Architect"
"Microsoft, Netflix is seeking a Data Scientist, DevOps Engineer, Product Manager proficient in Python, Kubernetes, Java, AWS and experienced with GitHub, Slack, Salesforce, VS Code. The ideal candidate should possess Bachelor's in Computer Science, Ph.D. in Data Science, Master's in Information Systems and have 7+ years, 5+ years, 3-5 years of industry experience. Position is based in San Francisco, CA, Boston, MA, Austin, TX. Strong Communication Skills, Adaptability and fluency in French, German, English, Spanish are required. Salary range: $90k–$120k, $120k–$150k. Preferred certifications include Certified Scrum Master, Google Cloud Professional.","Python, Kubernetes, Java, AWS","Microsoft, Netflix","GitHub, Slack, Salesforce, VS Code","Bachelor's in Computer Science, Ph.D. in Data Science, Master's in Information Systems","7+ years, 5+ years, 3-5 years","Data Scientist, DevOps Engineer, Product Manager","San Francisco, CA, Boston, MA, Austin, TX","French, German, English, Spanish","Communication Skills, Adaptability","$90k–$120k, $120k–$150k","Certified Scrum Master, Google Cloud Professional"
"Microsoft, Google, Netflix, Amazon is seeking a Product Manager, DevOps Engineer, Data Scientist proficient in SQL, Kubernetes and experienced with Tableau, GitHub, Salesforce. The ideal candidate should possess Bachelor's in Computer Science, Master's in Information Systems, Ph.D. in Data Science and have 5+ years, Entry level of industry experience. Position is based in Austin, TX, Seattle, WA. Strong Adaptability, Teamwork, Problem-Solving and fluency in German, English, Spanish, French are required. Salary range: $100k–$130k, $90k–$120k. Preferred certifications include Certified Scrum Master, PMP Certification.","SQL, Kubernetes","Microsoft, Google, Netflix, Amazon","Tableau, GitHub, Salesforce","Bachelor's in Computer Science, Master's in Information Systems, Ph.D. in Data Science","5+ years, Entry level","Product Manager, DevOps Engineer, Data Scientist","Austin, TX, Seattle, WA","German, English, Spanish, French","Adaptability, Teamwork, Problem-Solving","$100k–$130k, $90k–$120k","Certified Scrum Master, PMP Certification"
"Tesla, Google, IBM is seeking a Data Scientist, DevOps Engineer, Product Manager, Backend Developer proficient in AWS, SQL, Machine Learning, Python and experienced with VS Code, GitHub, Tableau, Salesforce. The ideal candidate should possess Master's in Information Systems, Bachelor's in Computer Science, Ph.D. in Data Science and have 5+ years, 3-5 years, Entry level of industry experience. Position is based in New York, NY, San Francisco, CA, Austin, TX. Strong Communication Skills, Teamwork, Adaptability and fluency in Spanish, English, German, French are required. Salary range: $120k–$150k, $100k–$130k. Preferred certifications include PMP Certification, AWS Certified Solutions Architect, Google Cloud Professional, Certified Scrum Master.","AWS, SQL, Machine Learning, Python","Tesla, Google, IBM","VS Code, GitHub, Tableau, Salesforce","Master's in Information Systems, Bachelor's in Computer Science, Ph.D. in Data Science","5+ years, 3-5 years, Entry level","Data Scientist, DevOps Engineer, Product Manager, Backend Developer","New York, NY, San Francisco, CA, Austin, TX","Spanish, English, German, French","Communication Skills, Teamwork, Adaptability","$120k–$150k, $100k–$130k","PMP Certification, AWS Certified Solutions Architect, Google Cloud Professional, Certified Scrum Master"
"Amazon, Facebook, IBM is seeking a Data Scientist, Product Manager proficient in Docker, Kubernetes, AWS, Java and experienced with VS Code, Slack. The ideal candidate should possess Ph.D. in Data Science, Bachelor's in Computer Science and have Mid-Senior level, 7+ years, 2+ years, Entry level of industry experience. Position is based in Boston, MA, New York, NY. Strong Communication Skills, Problem-Solving, Adaptability, Leadership and fluency in French, Spanish, German are required. Salary range: $120k–$150k, $90k–$120k. Preferred certifications include AWS Certified Solutions Architect, Certified Scrum Master, PMP Certification, Google Cloud Professional.","Docker, Kubernetes, AWS, Java","Amazon, Facebook, IBM","VS Code, Slack","Ph.D. in Data Science, Bachelor's in Computer Science","Mid-Senior level, 7+ years, 2+ years, Entry level","Data Scientist, Product Manager","Boston, MA, New York, NY","French, Spanish, German","Communication Skills, Problem-Solving, Adaptability, Leadership","$120k–$150k, $90k–$120k","AWS Certified Solutions Architect, Certified Scrum Master, PMP Certification, Google Cloud Professional"
"Amazon, Facebook, Apple is seeking a Product Manager, Software Engineer, DevOps Engineer, Data Scientist proficient in Python, Java, Docker, AWS and experienced with Tableau, VS Code, Slack, Figma. The ideal candidate should possess Master's in Information Systems, Ph.D. in Data Science and have Mid-Senior level, 2+ years, Entry level of industry experience. Position is based in New York, NY, Chicago, IL. Strong Problem-Solving, Communication Skills, Teamwork and fluency in Spanish, English, French, German are required. Salary range: $120k–$150k, $80k–$100k, $100k–$130k. Preferred certifications include AWS Certified Solutions Architect, Google Cloud Professional.","Python, Java, Docker, AWS","Amazon, Facebook, Apple","Tableau, VS Code, Slack, Figma","Master's in Information Systems, Ph.D. in Data Science","Mid-Senior level, 2+ years, Entry level","Product Manager, Software Engineer, DevOps Engineer, Data Scientist","New York, NY, Chicago, IL","Spanish, English, French, German","Problem-Solving, Communication Skills, Teamwork","$120k–$150k, $80k–$100k, $100k–$130k","AWS Certified Solutions Architect, Google Cloud Professional"
"Google, Facebook, Netflix is seeking a DevOps Engineer, Product Manager, Backend Developer proficient in Docker, AWS, Machine Learning, TensorFlow and experienced with VS Code, Jira, Tableau. The ideal candidate should possess Bachelor's in Computer Science, Ph.D. in Data Science and have Mid-Senior level, 5+ years, 7+ years, Entry level of industry experience. Position is based in Seattle, WA, Chicago, IL, San Francisco, CA, Boston, MA. Strong Leadership, Problem-Solving and fluency in Spanish, English, German, French are required. Salary range: $100k–$130k, $80k–$100k. Preferred certifications include PMP Certification, AWS Certified Solutions Architect, Google Cloud Professional.","Docker, AWS, Machine Learning, TensorFlow","Google, Facebook, Netflix","VS Code, Jira, Tableau","Bachelor's in Computer Science, Ph.D. in Data Science","Mid-Senior level, 5+ years, 7+ years, Entry level","DevOps Engineer, Product Manager, Backend Developer","Seattle, WA, Chicago, IL, San Francisco, CA, Boston, MA","Spanish, English, German, French","Leadership, Problem-Solving","$100k–$130k, $80k–$100k","PMP Certification, AWS Certified Solutions Architect, Google Cloud Professional"
"Google, Apple is seeking a Software Engineer, Product Manager proficient in TensorFlow, SQL, Python and experienced with Salesforce, Slack. The ideal candidate should possess Bachelor's in Computer Science, Ph.D. in Data Science, Master's in Information Systems and have 3-5 years, 2+ years, 5+ years of industry experience. Position is based in Austin, TX, Seattle, WA, Chicago, IL, New York, NY. Strong Leadership, Problem-Solving and fluency in Spanish, English, German are required. Salary range: $80k–$100k, $90k–$120k, $120k–$150k. Preferred certifications include Google Cloud Professional, Certified Scrum Master, PMP Certification, AWS Certified Solutions Architect.","TensorFlow, SQL, Python","Google, Apple","Salesforce, Slack","Bachelor's in Computer Science, Ph.D. in Data Science, Master's in Information Systems","3-5 years, 2+ years, 5+ years","Software Engineer, Product Manager","Austin, TX, Seattle, WA, Chicago, IL, New York, NY","Spanish, English, German","Leadership, Problem-Solving","$80k–$100k, $90k–$120k, $120k–$150k","Google Cloud Professional, Certified Scrum Master, PMP Certification, AWS Certified Solutions Architect"
"Tesla, IBM, Netflix, Amazon is seeking a Data Scientist, Product Manager proficient in Kubernetes, Machine Learning, Docker and experienced with GitHub, VS Code, Tableau. The ideal candidate should possess Ph.D. in Data Science, Bachelor's in Computer Science, Master's in Information Systems and have Entry level, 3-5 years, 5+ years, 7+ years of industry experience. Position is based in Boston, MA, New York, NY, San Francisco, CA, Seattle, WA. Strong Communication Skills, Teamwork and fluency in German, English are required. Salary range: $120k–$150k, $100k–$130k, $80k–$100k, $90k–$120k. Preferred certifications include Google Cloud Professional, Certified Scrum Master, AWS Certified Solutions Architect.","Kubernetes, Machine Learning, Docker","Tesla, IBM, Netflix, Amazon","GitHub, VS Code, Tableau","Ph.D. in Data Science, Bachelor's in Computer Science, Master's in Information Systems","Entry level, 3-5 years, 5+ years, 7+ years","Data Scientist, Product Manager","Boston, MA, New York, NY, San Francisco, CA, Seattle, WA","German, English","Communication Skills, Teamwork","$120k–$150k, $100k–$130k, $80k–$100k, $90k–$120k","Google Cloud Professional, Certified Scrum Master, AWS Certified Solutions Architect"
"Tesla, Google is seeking a Software Engineer, DevOps Engineer proficient in Python, TensorFlow, Kubernetes, Machine Learning and experienced with Tableau, GitHub, Figma. The ideal candidate should possess Master's in Information Systems, Ph.D. in Data Science, Bachelor's in Computer Science and have Entry level, 3-5 years, Mid-Senior level of industry experience. Position is based in Chicago, IL, Seattle, WA. Strong Adaptability, Problem-Solving, Communication Skills, Leadership and fluency in Spanish, German, French are required. Salary range: $100k–$130k, $120k–$150k. Preferred certifications include PMP Certification, AWS Certified Solutions Architect, Google Cloud Professional, Certified Scrum Master.","Python, TensorFlow, Kubernetes, Machine Learning","Tesla, Google","Tableau, GitHub, Figma","Master's in Information Systems, Ph.D. in Data Science, Bachelor's in Computer Science","Entry level, 3-5 years, Mid-Senior level","Software Engineer, DevOps Engineer","Chicago, IL, Seattle, WA","Spanish, German, French","Adaptability, Problem-Solving, Communication Skills, Leadership","$100k–$130k, $120k–$150k","PMP Certification, AWS Certified Solutions Architect, Google Cloud Professional, Certified Scrum Master"
"Microsoft, Apple, Tesla, Google is seeking a Product Manager, DevOps Engineer, Software Engineer proficient in Docker, Java and experienced with Jira, VS Code, Figma. The ideal candidate should possess Bachelor's in Computer Science, Ph.D. in Data Science and have 3-5 years, Entry level of industry experience. Position is based in Seattle, WA, San Francisco, CA. Strong Teamwork, Communication Skills, Adaptability and fluency in German, French, English are required. Salary range: $90k–$120k, $120k–$150k. Preferred certifications include Google Cloud Professional, Certified Scrum Master, AWS Certified Solutions Architect, PMP Certification.","Docker, Java","Microsoft, Apple, Tesla, Google","Jira, VS Code, Figma","Bachelor's in Computer Science, Ph.D. in Data Science","3-5 years, Entry level","Product Manager, DevOps Engineer, Software Engineer","Seattle, WA, San Francisco, CA","German, French, English","Teamwork, Communication Skills, Adaptability","$90k–$120k, $120k–$150k","Google Cloud Professional, Certified Scrum Master, AWS Certified Solutions Architect, PMP Certification"
